id,customer_id,region,device,amount_cents,event_ts
1,2021,NA,android,2424,1700002784
2,2537,NA,web,7912,1700000978
3,1625,NA,ios,11089,1700003354
4,4069,EU,web,10728,1700000933
5,8789,NA,android,5049,1700002537
6,1237,NA,android,1810,1700000400
7,1740,LATAM,ios,25295,1700002976
8,1051,MEA,android,19977,1700003653
9,1077,NA,web,2602,1700000975
10,2149,NA,ios,17851,1700002317
11,2462,MEA,ios,2886,1700002424
12,1187,NA,android,2067,1700003453
13,1299,LATAM,android,4233,1700001457
14,1180,APAC,web,6600,1700000753
15,1216,EU,android,7583,1700001830
16,1364,LATAM,web,6400,1700000863
17,2955,EU,android,5865,1700002388
18,1222,APAC,web,27796,1700002433
19,2608,NA,web,12502,1700000260
20,8338,EU,web,14661,1700000695
21,4096,EU,web,2816,1700003396
22,1130,EU,web,33398,1700001772
23,4285,NA,android,13969,1700000621
24,1064,APAC,android,6515,1700000837
25,2104,MEA,android,7433,1700003418
26,2467,MEA,ios,3411,1700002132
27,4881,NA,web,6036,1700002619
28,1198,EU,web,4188,1700000492
29,3874,APAC,web,2795,1700000918
30,2426,NA,ios,26857,1700002057
31,1157,EU,ios,2233,1700003389
32,1040,NA,android,13027,1700003695
33,3913,EU,web,4129,1700001569
34,1535,EU,web,1119,1700000824
35,6045,EU,web,12720,1700002097
36,4979,APAC,web,666,1700003321
37,8804,NA,android,9938,1700002853
38,2504,NA,ios,2483,1700003986
39,1687,APAC,web,1660,1700000785
40,2172,LATAM,web,4190,1700002955
41,1029,NA,ios,7727,1700001819
42,1207,NA,web,4084,1700003625
43,6639,EU,ios,7429,1700001101
44,6468,APAC,android,5250,1700003077
45,17211,APAC,ios,18246,1700003302
46,1079,LATAM,android,14748,1700001234
47,1246,NA,ios,11829,1700001692
48,1626,MEA,web,4961,1700002433
49,1739,NA,android,5957,1700001247
50,1723,NA,web,22984,1700001912
51,1368,APAC,ios,2206,1700002111
52,2843,EU,web,18111,1700001645
53,3971,LATAM,android,11523,1700004228
54,2500,APAC,web,4199,1700000860
55,3854,EU,web,644,1700003972
56,4113,EU,web,1894,1700001012
57,10489,EU,android,2575,1700002937
58,1320,MEA,web,2768,1700003197
59,1482,EU,ios,11151,1700002344
60,4878,APAC,ios,5429,1700003819
61,2513,LATAM,android,2929,1700003345
62,1297,NA,web,45365,1700002478
63,1313,NA,ios,13207,1700002371
64,2182,NA,ios,33614,1700000833
65,1284,EU,web,825,1700002654
66,1496,LATAM,android,2881,1700001553
67,2100,EU,web,2470,1700003947
68,1203,NA,web,1468,1700002830
69,1919,LATAM,ios,14276,1700003839
70,2276,APAC,web,6592,1700003985
71,3889,APAC,ios,727,1700003206
72,1219,APAC,ios,17937,1700003225
73,1867,EU,android,12391,1700003193
74,1503,APAC,web,4888,1700004147
75,1663,NA,web,8733,1700002087
76,1327,NA,web,2783,1700002687
77,1435,NA,web,7463,1700004154
78,1832,APAC,web,54846,1700001038
79,7189,LATAM,android,4005,1700003231
80,2584,NA,web,7980,1700002825
81,1582,APAC,android,3971,1700004495
82,1545,NA,web,1455,1700003377
83,2118,LATAM,web,2166,1700002144
84,1390,APAC,web,3442,1700004172
85,8028,EU,android,3202,1700001318
86,250000,APAC,ios,3439,1700004207
87,1022,EU,web,588,1700003070
88,2146,APAC,android,7566,1700001831
89,1901,NA,ios,11137,1700002434
90,1807,LATAM,web,18281,1700003595
91,2246,APAC,android,8299,1700003642
92,3094,NA,ios,19126,1700003905
93,1377,APAC,android,6762,1700001641
94,1480,EU,web,937,1700001943
95,2492,APAC,ios,17850,1700003215
96,1540,NA,web,22908,1700001602
97,1253,EU,ios,4918,1700002638
98,1021,NA,android,12932,1700002668
99,1254,EU,ios,23004,1700002069
100,1064,APAC,ios,12959,1700003945
101,2359,NA,web,6147,1700002309
102,1287,EU,web,8469,1700004381
103,1736,NA,web,4386,1700004293
104,1159,APAC,web,1881,1700002238
105,2523,APAC,ios,2876,1700001776
106,3431,NA,android,4076,1700001896
107,1248,LATAM,ios,9452,1700004965
108,1009,NA,android,3520,1700002438
109,7048,EU,web,5496,1700003995
110,2226,EU,ios,2766,1700003963
111,1193,EU,android,7105,1700003199
112,1286,APAC,android,10762,1700002307
113,1969,NA,ios,4490,1700002110
114,1002,NA,web,5524,1700004377
115,1258,APAC,ios,3810,1700004787
116,6496,APAC,android,5173,1700004893
117,1112,LATAM,web,15368,1700003440
118,2237,NA,web,6678,1700003303
119,2496,NA,ios,7860,1700005071
120,1805,NA,android,9597,1700003487
121,1657,MEA,web,5893,1700004908
122,1595,NA,ios,2533,1700005099
123,1129,APAC,web,5088,1700004714
124,1735,NA,android,6023,1700003267
125,3978,NA,ios,19247,1700004175
126,2649,NA,ios,14941,1700002817
127,1489,MEA,ios,9448,1700002631
128,2348,APAC,web,5552,1700002145
129,2054,EU,ios,2240,1700003611
130,1213,LATAM,ios,7582,1700002249
131,3960,EU,android,1286,1700003782
132,1240,APAC,android,23052,1700003545
133,1705,EU,web,3910,1700003047
134,4076,EU,web,1901,1700003679
135,2323,APAC,android,14593,1700002378
136,1603,EU,android,1585,1700005348
137,3618,EU,web,2545,1700003126
138,3741,NA,android,16318,1700004904
139,1587,NA,ios,7869,1700002984
140,61064,NA,ios,13072,1700005394
141,1076,NA,web,3196,1700002062
142,1271,EU,ios,5318,1700005092
143,1147,EU,ios,1845,1700003897
144,5380,NA,web,2398,1700001910
145,4858,EU,web,6184,1700003300
146,20708,NA,android,11454,1700005393
147,1577,EU,android,2584,1700003120
148,1016,NA,android,15499,1700005111
149,2564,NA,android,6326,1700004423
150,3055,NA,android,3902,1700005093
151,2101,LATAM,ios,27183,1700003228
152,2921,NA,android,2144,1700003314
153,2584,EU,android,3744,1700004163
154,1617,LATAM,android,4379,1700005305
155,1273,APAC,web,6325,1700004785
156,2432,APAC,web,13997,1700004225
157,1096,NA,web,2971,1700004656
158,6985,NA,android,3028,1700004353
159,1316,EU,ios,10802,1700004938
160,1282,LATAM,web,5656,1700004097
161,1089,EU,web,2751,1700005136
162,2276,APAC,android,7750,1700004788
163,1075,MEA,web,6485,1700003636
164,1185,NA,android,5963,1700003636
165,1720,EU,web,21069,1700002645
166,7788,NA,ios,11570,1700002245
167,1037,APAC,ios,11645,1700004572
168,1183,NA,android,15604,1700002195
169,1252,NA,android,9075,1700002736
170,1011,NA,web,12000,1700002424
171,1098,NA,web,5810,1700003705
172,1644,LATAM,web,1975,1700005444
173,5213,APAC,web,9475,1700004210
174,3655,APAC,web,5869,1700002592
175,1308,EU,ios,3582,1700005191
176,1312,NA,android,5563,1700005781
177,2083,LATAM,web,24463,1700003236
178,1446,APAC,web,15458,1700003594
179,2127,LATAM,web,5303,1700005733
180,1064,EU,web,4417,1700002585
181,1839,NA,web,7684,1700005078
182,7053,NA,web,1621,1700003645
183,1349,APAC,web,7769,1700002822
184,1347,NA,web,7356,1700004149
185,3620,NA,android,10893,1700005802
186,2261,APAC,android,2451,1700003855
187,1005,EU,web,24883,1700005024
188,11720,EU,web,1741,1700003088
189,1376,EU,web,30893,1700002672
190,1124,EU,ios,2090,1700004166
191,1247,EU,web,10397,1700005262
192,1860,NA,android,7081,1700002720
193,1006,NA,web,4520,1700003852
194,1093,NA,ios,6621,1700003464
195,1614,APAC,web,8772,1700003006
196,1431,APAC,web,23985,1700004336
197,3610,EU,web,2543,1700003831
198,2572,NA,ios,952,1700004747
199,1636,APAC,android,17473,1700005925
200,1117,NA,web,2924,1700005709
201,2086,APAC,web,6426,1700004925
202,2035,MEA,web,20233,1700004427
203,1050,NA,web,5867,1700004717
204,1055,NA,web,6271,1700005292
205,3964,EU,ios,27723,1700004935
206,8390,NA,ios,29132,1700004731
207,1120,APAC,ios,17047,1700003397
208,1028,NA,android,7334,1700004290
209,1437,APAC,ios,3585,1700002986
210,1318,NA,android,7716,1700005198
211,4157,NA,web,3599,1700005430
212,2287,LATAM,web,4417,1700004298
213,2037,APAC,android,4922,1700005576
214,5364,NA,android,6758,1700004181
215,7650,NA,web,6488,1700006253
216,2916,APAC,ios,6842,1700005519
217,1328,EU,web,10703,1700006226
218,2258,APAC,web,48227,1700004326
219,2178,NA,android,3216,1700004685
220,1202,EU,web,1535,1700006011
221,1257,MEA,android,4533,1700006154
222,1897,LATAM,android,6358,1700004999
223,3721,NA,android,1642,1700003502
224,3409,EU,web,20766,1700004493
225,36288,LATAM,android,5466,1700005587
226,1326,APAC,android,22624,1700004859
227,1508,EU,android,679,1700005112
